k,g,s,cv,npf
100.0,0.6,0.5,0.3,0.903864
100.0,0.6,0.5,0.35,1.028284
100.0,0.6,0.5,0.4,1.245016
100.0,0.6,0.5,0.45,1.50136
100.0,0.6,1.0,0.15,0.797924
100.0,0.6,1.0,0.2,0.797112
100.0,0.6,1.0,0.25,0.803772
100.0,0.6,1.0,0.3,0.804948
100.0,0.6,1.0,0.35,0.809596
100.0,0.6,1.0,0.4,0.81716
100.0,0.6,1.0,0.45,0.845424
100.0,0.7,0.0,0.15,1.368048
100.0,0.7,0.0,0.2,1.4419
100.0,0.7,0.0,0.25,1.610196
100.0,0.7,0.0,0.3,1.648644
100.0,0.7,0.0,0.35,1.683936
100.0,0.7,0.0,0.4,1.713092
100.0,0.7,0.0,0.45,1.734676
100.0,0.7,0.01,0.15,1.3366
100.0,0.7,0.01,0.2,1.41968
100.0,0.7,0.01,0.25,1.605452
100.0,0.7,0.01,0.3,1.645044
100.0,0.7,0.01,0.35,1.680148
100.0,0.7,0.01,0.4,1.709632
100.0,0.7,0.01,0.45,1.731324
100.0,0.7,0.1,0.15,1.019856
100.0,0.7,0.1,0.2,1.13892
100.0,0.7,0.1,0.25,1.540648
100.0,0.7,0.1,0.3,1.59614
100.0,0.7,0.1,0.35,1.6412
100.0,0.7,0.1,0.4,1.680792
100.0,0.7,0.1,0.45,1.70896
100.0,0.7,0.5,0.15,0.877564
100.0,0.7,0.5,0.2,0.881768
100.0,0.7,0.5,0.25,0.904388
100.0,0.7,0.5,0.3,0.945372
100.0,0.7,0.5,0.35,1.035648
100.0,0.7,0.5,0.4,1.196152
100.0,0.7,0.5,0.45,1.400592
100.0,0.7,1.0,0.15,0.8685
100.0,0.7,1.0,0.2,0.868312
100.0,0.7,1.0,0.25,0.870748
100.0,0.7,1.0,0.3,0.869612
100.0,0.7,1.0,0.35,0.87268
100.0,0.7,1.0,0.4,0.882136
100.0,0.7,1.0,0.45,0.899544
100.0,0.8,0.0,0.15,1.237316
100.0,0.8,0.0,0.2,1.29076
100.0,0.8,0.0,0.25,1.394492
100.0,0.8,0.0,0.3,1.426548
100.0,0.8,0.0,0.35,1.452384
100.0,0.8,0.0,0.4,1.476616
100.0,0.8,0.0,0.45,1.498448
100.0,0.8,0.01,0.15,1.217876
100.0,0.8,0.01,0.2,1.27434
100.0,0.8,0.01,0.25,1.393436
100.0,0.8,0.01,0.3,1.422836
100.0,0.8,0.01,0.35,1.451
